forward add_edges KSP-4 0 71176755.987345 []
forward add_edges KSP-4 0 71896755.98734005 [(1, 4)]
forward add_edges KSP-4 0 49467163.570425004 [(6, 11)]
forward add_edges KSP-4 0 72256755.98734501 [(4, 9)]
forward add_edges KSP-4 0 71958992.00138998 [(6, 9)]
forward add_edges KSP-4 0 35037426.907974996 [(8, 12)]
forward add_edges KSP-4 0 50334186.452795 [(6, 10)]
forward add_edges KSP-4 0 46736345.7555825 [(5, 12)]
forward add_edges KSP-4 0 71878204.66612501 [(8, 9)]
forward add_edges KSP-4 0 47130591.64617993 [(7, 12)]
forward add_edges KSP-4 0 50110709.430424936 [(3, 11)]
forward add_edges KSP-4 0 51364589.10668999 [(2, 10)]
forward add_edges KSP-4 0 77620134.62037756 [(3, 7)]
forward add_edges KSP-4 0 50205286.229985 [(7, 10)]
forward add_edges KSP-4 0 45324989.419825 [(5, 11)]
forward add_edges KSP-4 0 75603422.74858002 [(1, 7)]
forward add_edges KSP-4 0 50396455.283834964 [(4, 12)]
forward add_edges KSP-4 0 80026535.55784498 [(4, 6)]
forward add_edges KSP-4 0 50750404.786094844 [(1, 10)]
forward add_edges KSP-4 0 68922140.2176 [(2, 7)]
forward add_edges KSP-4 0 50168287.983669974 [(3, 12)]
forward add_edges KSP-4 0 71896755.98734501 [(3, 5)]
forward add_edges KSP-4 0 31247614.852655005 [(2, 12)]
forward add_edges KSP-4 0 58597178.20564988 [(5, 7)]
forward add_edges KSP-4 0 38152548.12238496 [(6, 12)]
forward add_edges KSP-4 0 78728761.24069494 [(1, 8)]
forward add_edges KSP-4 0 69058926.68557501 [(2, 8)]
forward add_edges KSP-4 0 46523168.024124995 [(2, 9)]
forward add_edges KSP-4 0 50205286.229985006 [(1, 11)]
forward add_edges KSP-4 0 51405500.26125997 [(1, 12)]
forward add_edges KSP-4 0 54444755.840124995 [(3, 9)]
forward add_edges KSP-4 0 72135970.31089501 [(8, 11)]
forward add_edges KSP-4 0 72455163.81542504 [(2, 4)]
forward add_edges KSP-4 0 45324989.419825 [(2, 11)]
forward add_edges KSP-4 0 81380491.395345 [(1, 5)]
forward add_edges KSP-4 0 58298956.69612253 [(1, 9)]
forward add_edges KSP-4 0 50565286.229985006 [(3, 10)]
forward add_edges KSP-4 0 72455163.81543 [(2, 6)]
forward add_edges KSP-4 0 60019838.06142545 [(5, 9)]
forward add_edges KSP-4 0 71878204.66612503 [(7, 9)]
forward add_edges KSP-4 0 71896755.98734501 [(9, 12)]
forward add_edges KSP-4 0 77437212.44884253 [(3, 8)]
forward add_edges KSP-4 0 56516594.45978499 [(4, 10)]
forward add_edges KSP-4 0 45324989.419825 [(5, 10)]
forward add_edges KSP-4 0 50739491.36959501 [(4, 11)]
forward add_edges KSP-4 0 71896755.98734501 [(1, 6)]
forward add_edges KSP-4 0 80669984.93089497 [(5, 8)]
forward add_edges KSP-4 0 72455163.81543 [(2, 3)]
forward add_edges KSP-4 0 71176755.98734501 []
forward add_edges KSP-4 0 58076531.90439001 [(1, 4)]
forward add_edges KSP-4 0 49467163.570425004 [(6, 11)]
forward add_edges KSP-4 0 71127640.7223525 [(4, 9)]
forward add_edges KSP-4 0 55731819.1421475 [(6, 9)]
forward add_edges KSP-4 0 35037426.907974996 [(8, 12)]
forward add_edges KSP-4 0 50334186.45279501 [(6, 10)]
forward add_edges KSP-4 0 30924842.558855 [(5, 12)]
forward add_edges KSP-4 0 71878204.66612498 [(8, 9)]
forward add_edges KSP-4 0 47130591.64618002 [(7, 12)]
forward add_edges KSP-4 0 49548120.91122 [(3, 11)]
forward add_edges KSP-4 0 46158592.51832501 [(2, 10)]
forward add_edges KSP-4 0 58076531.90439001 [(3, 7)]
forward add_edges KSP-4 0 50205286.22998501 [(7, 10)]
forward add_edges KSP-4 0 45324989.419825 [(5, 11)]
