from_node to_node capacity num_fiberducts prob_failure
9 2 600000.0 1 0.001246102049202126
9 22 600000.0 1 0.0007827280759622105
9 8 600000.0 1 4.993352647111531e-06
9 13 600000.0 1 0.00014530678490407212
9 3 600000.0 1 0.0002303284473444435
9 16 600000.0 1 0.00013411299816141868
9 5 600000.0 1 7.872872997830294e-05
9 6 0.0 0 0.0004774180994017715
9 17 0.0 0 1.4001273481832756e-05
9 25 0.0 0 0.002263793686720468
9 21 0.0 0 0.0003668705008067579
9 15 0.0 0 0.00017170215366472136
9 20 0.0 0 0.00022514155812065892
9 1 0.0 0 0.00010988891645300386
9 7 0.0 0 0.0012306573430236787
9 4 0.0 0 3.8790778131824066e-06
9 14 0.0 0 0.0034957824926887043
9 19 0.0 0 0.009416638075867019
9 18 0.0 0 0.0004832423331135967
9 11 0.0 0 0.0002854755301347708
9 12 0.0 0 0.0010940928375889139
9 10 0.0 0 0.0016051494295780842
9 24 0.0 0 0.0007612464111387787
9 23 0.0 0 3.148410467857372e-05
2 6 600000.0 1 0.0020249424553060676
2 3 600000.0 1 0.0005037674215540317
2 17 600000.0 1 0.00026752993165600914
2 16 600000.0 1 0.0006986534649655959
2 9 600000.0 1 0.0006606627139447233
2 25 600000.0 1 0.00041391166791137073
2 21 600000.0 1 5.5953859146638345e-05
2 15 600000.0 1 0.0005093762035506041
2 20 600000.0 1 0.000699997287336615
2 22 0.0 0 0.0026344481361758256
2 8 0.0 0 1.3812343268574641e-05
2 13 0.0 0 0.0016054205551621513
2 5 0.0 0 0.0016992440207198175
2 1 0.0 0 0.004166844796794511
2 7 0.0 0 0.00024378274290064172
2 4 0.0 0 6.960495901167237e-05
2 14 0.0 0 0.0005349678489495632
2 19 0.0 0 0.00015899253217982923
2 18 0.0 0 0.0019597414655215485
2 11 0.0 0 0.00040407262442725866
2 12 0.0 0 0.005271036862923943
2 10 0.0 0 1.2970085646229334e-05
2 24 0.0 0 5.751283161902016e-05
2 23 0.0 0 0.0028798646910062255
22 13 600000.0 1 0.00028972694289925425
22 23 600000.0 1 0.0034385300065472063
22 17 600000.0 1 0.0011123804320923973
22 9 600000.0 1 0.0003381484887889117
22 24 600000.0 1 0.00021399947632514503
22 21 600000.0 1 0.00033076900201891023
22 2 0.0 0 0.0006626873042787229
22 8 0.0 0 0.0017108657565667186
22 3 0.0 0 0.001029072487171229
22 16 0.0 0 0.0006482842522216699
22 5 0.0 0 0.00011628003417445125
22 6 0.0 0 0.0005762267427213647
22 25 0.0 0 0.00490684807215005
22 15 0.0 0 0.002681078528529376
22 20 0.0 0 0.0023470506374373614
22 1 0.0 0 0.0002589384358729435
22 7 0.0 0 0.001807890710843123
22 4 0.0 0 0.00038811050728866626
22 14 0.0 0 0.0006055269503976471
22 19 0.0 0 0.00225320491859908
22 18 0.0 0 0.0007433733866254701
22 11 0.0 0 0.000438411444586601
22 12 0.0 0 0.0030434304115791126
22 10 0.0 0 0.0011844510966975727
8 13 600000.0 1 2.8596072141330106e-05
8 3 600000.0 1 0.0001383722578581384
8 9 600000.0 1 0.001018897541475972
8 5 600000.0 1 2.1417137250402055e-05
8 2 0.0 0 0.0006932850575031131
8 22 0.0 0 0.00069665248336939
8 16 0.0 0 0.00037436444140966774
8 6 0.0 0 0.0006817150544473031
8 17 0.0 0 0.0013586178610603193
8 25 0.0 0 0.00012943364245433797
8 21 0.0 0 0.0011318808555618482
8 15 0.0 0 0.0013991326495427802
8 20 0.0 0 0.00029790202053185167
8 1 0.0 0 0.002751729203910534
8 7 0.0 0 0.0007718454362766096
8 4 0.0 0 0.0015472004966712487
8 14 0.0 0 0.0027256374249735138
8 19 0.0 0 6.505728599596444e-05
8 18 0.0 0 0.0029012598325954034
8 11 0.0 0 0.0008908811693528261
8 12 0.0 0 0.0006405557260172996
8 10 0.0 0 0.00020794865722426577
8 24 0.0 0 0.00033572248012581584
8 23 0.0 0 8.534174850080869e-05
13 22 600000.0 1 0.0011369066126819245
13 8 600000.0 1 0.003238570636178144
13 11 600000.0 1 0.002222875450022871
13 17 600000.0 1 0.00018660604014076717
13 12 600000.0 1 0.0026816618832491397
13 16 600000.0 1 0.0009520933607926566
13 9 600000.0 1 0.0008373892827653859
13 10 600000.0 1 0.0007092115567487973
13 5 600000.0 1 0.0003686859952590533
13 15 600000.0 1 0.00028924224509610204
13 2 0.0 0 0.0017703722320114507
13 3 0.0 0 0.00016916062267366067
13 6 0.0 0 0.00036474275235556705
13 25 0.0 0 0.00019299411447227472
13 21 0.0 0 0.0010162764323534074
13 20 0.0 0 0.0021430657207050182
13 1 0.0 0 0.0003296522611050759
13 7 0.0 0 0.0032979070027400466
13 4 0.0 0 0.0023981133239494115
13 14 0.0 0 6.661955669867878e-05
13 19 0.0 0 0.001690972735489854
13 18 0.0 0 0.004094383395012768
13 24 0.0 0 6.92476337326788e-05
13 23 0.0 0 0.0009241438191581003
3 6 600000.0 1 0.0019596894659771285
3 2 600000.0 1 0.0012120140664797115
3 8 600000.0 1 0.00041607159355562263
3 9 600000.0 1 0.0009974547843705005
3 22 0.0 0 0.0034124284521077778
3 13 0.0 0 0.0006612419461339609
3 16 0.0 0 0.0015436876006496409
3 5 0.0 0 0.0001266985314821528
3 17 0.0 0 0.002212868114363607
3 25 0.0 0 0.0018823727569015566
3 21 0.0 0 0.0005914799285762728
3 15 0.0 0 0.0010239900431140004
3 20 0.0 0 0.0031104384828935937
3 1 0.0 0 0.006170801176268677
3 7 0.0 0 0.0012898648818156946
3 4 0.0 0 0.0016599936244500013
3 14 0.0 0 2.4049745576826927e-05
3 19 0.0 0 0.0021730866218104008
3 18 0.0 0 0.0010633907479370298
3 11 0.0 0 4.64090603863555e-05
3 12 0.0 0 0.00027334418564077013
3 10 0.0 0 0.0016611476705911403
3 24 0.0 0 0.005158508727304426
3 23 0.0 0 0.00019207049082826182
16 2 600000.0 1 0.0013600565914455665
16 13 600000.0 1 0.0017702523935909146
16 17 600000.0 1 0.0007792539259107104
16 9 600000.0 1 0.0008005565169671829
16 15 600000.0 1 0.0003336281772375154
16 22 0.0 0 0.00018613842429697917
16 8 0.0 0 0.00041348413546879166
16 3 0.0 0 9.454855088586082e-06
16 5 0.0 0 0.00021948040495083567
16 6 0.0 0 0.0001518922030644927
16 25 0.0 0 0.000640943889005331
16 21 0.0 0 0.0015853740191694703
16 20 0.0 0 0.00042935892957136456
16 1 0.0 0 0.0035766284351353562
16 7 0.0 0 0.0007518286781926655
16 4 0.0 0 0.001225665694497197
16 14 0.0 0 0.001786429782216997
16 19 0.0 0 0.0005054779338884219
16 18 0.0 0 0.0022218295108312
16 11 0.0 0 0.0013118212716399936
16 12 0.0 0 0.0010435795368451664
16 10 0.0 0 0.0019714818426524857
16 24 0.0 0 0.0010548961721995975
16 23 0.0 0 0.0012333030497625843
5 8 600000.0 1 0.0003428487551328905
5 13 600000.0 1 0.0003176159454637018
5 4 600000.0 1 0.0009630972298789143
5 7 600000.0 1 0.0015048901173954285
5 9 600000.0 1 6.980365471251646e-05
5 14 600000.0 1 2.897546940444356e-05
5 2 0.0 0 0.0003735685702651931
5 22 0.0 0 0.0015256537389222863
5 3 0.0 0 0.0014702752096719173
5 16 0.0 0 0.0008922100995969867
5 6 0.0 0 3.85318221553082e-05
5 17 0.0 0 0.00012436535696382266
5 25 0.0 0 0.0005567027102329745
5 21 0.0 0 0.0015528314920435094
5 15 0.0 0 6.365842422482774e-05
5 20 0.0 0 0.0018607475189060404
5 1 0.0 0 0.0020063638748303025
5 19 0.0 0 0.0028535042128283662
5 18 0.0 0 0.00023652997612416812
5 11 0.0 0 0.0022662082779075525
5 12 0.0 0 0.0006714318068227954
5 10 0.0 0 0.0006297389022068933
5 24 0.0 0 0.0005508615443558808
5 23 0.0 0 0.001900943296324705
6 2 600000.0 1 0.0006181986166583444
6 1 600000.0 1 0.0015481132538121638
6 3 600000.0 1 0.0018654589651432702
6 7 600000.0 1 0.00014206249670209415
6 25 600000.0 1 0.0004439266157655404
6 9 0.0 0 0.001148317141445497
6 22 0.0 0 0.0008239502243233512
6 8 0.0 0 0.0007767016721253075
6 13 0.0 0 0.0023720394779177503
6 16 0.0 0 0.007115950229999516
6 5 0.0 0 9.49273762290499e-05
6 17 0.0 0 0.008607848269466681
6 21 0.0 0 0.002106649068353811
6 15 0.0 0 3.478106352797909e-05
6 20 0.0 0 0.00012209972114653384
6 4 0.0 0 0.00048604392998578366
6 14 0.0 0 0.004804193578170495
6 19 0.0 0 0.0008834383956426601
6 18 0.0 0 0.0014247208161845203
6 11 0.0 0 0.0004343868369339313
6 12 0.0 0 0.0012842537591876086
6 10 0.0 0 2.8394213262506748e-05
6 24 0.0 0 0.0038813909795657174
6 23 0.0 0 0.000803358300218314
17 18 600000.0 1 0.0017317618960448443
17 2 600000.0 1 0.000733851753777651
17 22 600000.0 1 0.00248846992882898
17 13 600000.0 1 9.940183040447936e-05
17 19 600000.0 1 0.0005591793850150828
17 16 600000.0 1 0.0009783263407882375
17 21 600000.0 1 2.5331042028574474e-05
17 15 600000.0 1 1.7794011696227567e-05
17 20 600000.0 1 0.0013677074558056685
17 9 0.0 0 0.0015563460584515285
17 8 0.0 0 5.035799898463701e-06
17 3 0.0 0 0.0030999465295991698
17 5 0.0 0 0.003098227518740965
17 6 0.0 0 0.005126841366954136
17 25 0.0 0 1.492064843900326e-05
17 1 0.0 0 0.005423726832532489
17 7 0.0 0 0.0004316625951793361
17 4 0.0 0 8.274658695514484e-05
17 14 0.0 0 0.0005935697671337366
17 11 0.0 0 0.00010672789205032477
17 12 0.0 0 0.00012758295751032724
17 10 0.0 0 0.0014680273369812708
17 24 0.0 0 0.0019913687925977993
17 23 0.0 0 0.0022144017780280426
25 6 600000.0 1 0.003303299513752178
25 2 600000.0 1 0.001162155061952798
25 1 600000.0 1 0.0005878094881747041
25 7 600000.0 1 0.0007910422747420179
25 9 0.0 0 0.003892324835506182
25 22 0.0 0 0.00014951198481909426
25 8 0.0 0 0.000285187811809777
25 13 0.0 0 0.00022038675897807132
25 3 0.0 0 0.000649925099340882
25 16 0.0 0 0.00030817627214445537
25 5 0.0 0 0.00043252250858203344
25 17 0.0 0 0.008231621888787243
25 21 0.0 0 0.000843736599400644
25 15 0.0 0 0.0002636030418699444
25 20 0.0 0 0.0009975334088990187
25 4 0.0 0 0.0011156730949276673
25 14 0.0 0 0.0002055967718043209
25 19 0.0 0 0.0014813378182059217
25 18 0.0 0 0.002409932442528663
25 11 0.0 0 3.2331336024024767e-05
25 12 0.0 0 0.0010384052231136318
25 10 0.0 0 0.0031747581859434375
25 24 0.0 0 1.0665633963959254e-05
25 23 0.0 0 0.00021245082754826146
21 18 600000.0 1 0.0001904860108378842
21 2 600000.0 1 0.0001669173105539944
21 22 600000.0 1 0.0009640149684337739
21 17 600000.0 1 0.0008745732199483661
21 15 600000.0 1 0.0020205048187224186
21 9 0.0 0 5.755559929758188e-05
21 8 0.0 0 0.0002768603953637431
21 13 0.0 0 0.0002654035377323717
21 3 0.0 0 0.004057434481164684
21 16 0.0 0 0.0003938484268501368
21 5 0.0 0 0.0009056338902143178
21 6 0.0 0 0.001170198926988595
21 25 0.0 0 0.0006299720101395873
21 20 0.0 0 0.00030978585828240725
21 1 0.0 0 0.00558616090691609
21 7 0.0 0 0.003050216375568523
21 4 0.0 0 7.894116328738249e-05
21 14 0.0 0 0.0005093551306569823
21 19 0.0 0 0.002905329776635243
21 11 0.0 0 0.0010271134482725396
21 12 0.0 0 0.0016815177156693385
21 10 0.0 0 0.0013833228418572985
21 24 0.0 0 1.808909767868852e-06
21 23 0.0 0 0.00037984904336080467
15 2 600000.0 1 0.004450453869024192
15 13 600000.0 1 0.00023165854626190077
15 17 600000.0 1 0.00026713236845151073
15 16 600000.0 1 0.0002852131534074888
15 21 600000.0 1 0.00012711466143767335
15 9 0.0 0 6.184391211663164e-05
15 22 0.0 0 0.0007639850224484671
15 8 0.0 0 0.0007943721412861751
15 3 0.0 0 0.0004953844019662399
15 5 0.0 0 1.4161762439091353e-05
15 6 0.0 0 0.0020091251379546655
15 25 0.0 0 5.6889527528408174e-05
15 20 0.0 0 0.0024015354314866092
15 1 0.0 0 0.0006946176395508831
15 7 0.0 0 0.001143070713606996
15 4 0.0 0 0.0006967537621760308
15 14 0.0 0 4.0805277223079257e-05
15 19 0.0 0 8.985973052731367e-05
15 18 0.0 0 0.002278041069361868
15 11 0.0 0 0.0004187718001259005
15 12 0.0 0 0.0005345384262052904
15 10 0.0 0 0.0034296072711677865
15 24 0.0 0 0.0017065114727035033
15 23 0.0 0 0.0005051893117076302
20 2 600000.0 1 0.0019410313398623
20 17 600000.0 1 0.0031836205360083213
20 19 600000.0 1 0.0005630437373770609
