from_node to_node capacity num_fiberducts prob_failure
9 2 1000000.0 1 0.00010300853352947583
9 17 1000000.0 1 0.0002327063172782227
9 8 0.0 0 0.0003051312811864619
9 12 0.0 0 0.0005036312679881406
9 4 0.0 0 0.0029113841646247903
9 3 0.0 0 0.00957546030690845
9 10 0.0 0 0.001040750855344465
9 1 0.0 0 0.00021949412592522149
9 6 0.0 0 0.00043142408487717383
9 5 0.0 0 0.00242470054056026
9 7 0.0 0 0.000555609795308275
9 16 0.0 0 4.516943734861834e-05
9 15 0.0 0 0.0002387223939169441
9 13 0.0 0 0.0001976776358564051
9 14 0.0 0 0.00042722250838324967
9 11 0.0 0 0.00012005299324400008
2 9 1000000.0 1 0.000487261252553587
2 3 1000000.0 1 0.0021892026846451417
2 4 1000000.0 1 0.0007311209660483659
2 17 0.0 0 0.00025760616539569097
2 8 0.0 0 0.00013434047464785432
2 12 0.0 0 0.0003593564527694003
2 10 0.0 0 0.0012384024812001151
2 1 0.0 0 0.0016614793142891127
2 6 0.0 0 0.0008856101567654654
2 5 0.0 0 0.0004877281916040214
2 7 0.0 0 2.578664173778401e-05
2 16 0.0 0 0.00925905673973956
2 15 0.0 0 0.0008289901116562444
2 13 0.0 0 0.0009189526508662713
2 14 0.0 0 0.000187234018138069
2 11 0.0 0 0.0001807872543113971
17 1 1000000.0 1 0.00044568249540141497
17 9 1000000.0 1 0.00030729015083328894
17 14 1000000.0 1 0.001962670318124094
17 11 1000000.0 1 0.0002433699289146908
17 2 0.0 0 0.00033605758543460266
17 8 0.0 0 0.0005434371427716464
17 12 0.0 0 0.0017025831166148126
17 4 0.0 0 0.0011569089072118754
17 3 0.0 0 0.0003282763953958063
17 10 0.0 0 2.5474937759361385e-05
17 6 0.0 0 9.853445806703229e-05
17 5 0.0 0 0.00011768741107954894
17 7 0.0 0 0.0001437959134691199
17 16 0.0 0 0.0013082048008348154
17 15 0.0 0 0.00020340983713073175
17 13 0.0 0 0.00011565276371040538
8 12 1000000.0 1 0.0006882169058876721
8 4 1000000.0 1 0.0002503157385942883
8 9 0.0 0 0.002327776242464465
8 2 0.0 0 0.0014807181809974891
8 17 0.0 0 0.0019019123473118698
8 3 0.0 0 0.0015823251369002133
8 10 0.0 0 0.0015814217518046252
8 1 0.0 0 0.00011739825484355665
8 6 0.0 0 0.0002726882646076741
8 5 0.0 0 0.00030892792754871456
8 7 0.0 0 0.002581857780906659
8 16 0.0 0 0.00036726037627622123
8 15 0.0 0 0.0005037477537066686
8 13 0.0 0 0.00025223484484950535
8 14 0.0 0 0.00012115556353514639
8 11 0.0 0 0.00036179468691000395
12 13 1000000.0 1 0.0009663805998492293
12 8 1000000.0 1 0.0022086077347219955
12 11 1000000.0 1 0.0012056028012622704
12 9 0.0 0 0.0004174114105409139
12 2 0.0 0 0.0001070919709627427
12 17 0.0 0 0.00011553027184417869
