from_node to_node capacity num_fiberducts prob_failure
1 2 3500000.0 1 0.004
1 3 3500000.0 1 0.004
2 1 3500000.0 1 0.004
2 5 3500000.0 1 0.004
3 1 3500000.0 1 0.004
3 4 3500000.0 1 0.004
3 6 3500000.0 1 0.004
4 3 3500000.0 1 0.004
4 5 3500000.0 1 0.004
4 7 3500000.0 1 0.004
4 8 3500000.0 1 0.004
5 2 3500000.0 1 0.004
5 4 3500000.0 1 0.004
5 6 3500000.0 1 0.004
6 3 3500000.0 1 0.004
6 5 3500000.0 1 0.004
6 7 3500000.0 1 0.004
6 8 3500000.0 1 0.004
7 4 3500000.0 1 0.004
7 6 3500000.0 1 0.004
7 8 3500000.0 1 0.004
7 11 3500000.0 1 0.004
8 4 3500000.0 1 0.004
8 6 3500000.0 1 0.004
8 7 3500000.0 1 0.004
8 10 3500000.0 1 0.004
9 10 3500000.0 1 0.004
9 11 3500000.0 1 0.004
10 8 3500000.0 1 0.004
10 9 3500000.0 1 0.004
10 11 3500000.0 1 0.004
10 12 3500000.0 1 0.004
11 7 3500000.0 1 0.004
11 9 3500000.0 1 0.004
11 10 3500000.0 1 0.004
11 12 3500000.0 1 0.004
12 10 3500000.0 1 0.004
12 11 3500000.0 1 0.004
